,gu_sido,cortarNo,gu_name,gu_Lat,gu_Lon
0,1100000000,11680,강남구,37.517408,127.047313
1,1100000000,11740,강동구,37.530126,127.123771
2,1100000000,11305,강북구,37.63974,127.025488
3,1100000000,11500,강서구,37.550985,126.849534
4,1100000000,11620,관악구,37.481021,126.951601
5,1100000000,11215,광진구,37.538617,127.082375
6,1100000000,11530,구로구,37.49551,126.887532
7,1100000000,11545,금천구,37.45196,126.902075
8,1100000000,11350,노원구,37.654286,127.056411
9,1100000000,11320,도봉구,37.668768,127.047163
10,1100000000,11230,동대문구,37.574493,127.039765
11,1100000000,11590,동작구,37.51245,126.9395
12,1100000000,11440,마포구,37.563517,126.9084
13,1100000000,11410,서대문구,37.579225,126.9368
14,1100000000,11650,서초구,37.483564,127.032594
15,1100000000,11200,성동구,37.563475,127.036838
16,1100000000,11290,성북구,37.5874,127.020729
17,1100000000,11710,송파구,37.514592,127.105863
18,1100000000,11470,양천구,37.517007,126.866546
19,1100000000,11560,영등포구,37.526367,126.896213
20,1100000000,11170,용산구,37.538825,126.96535
21,1100000000,11380,은평구,37.60278,126.929163
22,1100000000,11110,종로구,37.573025,126.979638
23,1100000000,11140,중구,37.563842,126.9976
24,1100000000,11260,중랑구,37.606324,127.092584
25,4100000000,41820,가평군,37.831171,127.509625
26,4100000000,41281,고양시 덕양구,37.637433,126.832359
27,4100000000,41285,고양시 일산동구,37.65879,126.775025
28,4100000000,41287,고양시 일산서구,37.675103,126.750578
29,4100000000,41290,과천시,37.429201,126.987638
30,4100000000,41210,광명시,37.478587,126.864548
31,4100000000,41610,광주시,37.417461,127.255924
32,4100000000,41310,구리시,37.594409,127.129581
33,4100000000,41410,군포시,37.36161,126.935331
34,4100000000,41570,김포시,37.615267,126.715621
35,4100000000,41360,남양주시,37.636032,127.216646
36,4100000000,41250,동두천시,37.903722,127.060579
37,4100000000,41194,부천시 소사구,37.480072,126.79993
38,4100000000,41196,부천시 오정구,37.528519,126.79556
39,4100000000,41192,부천시 원미구,37.496596,126.787111
40,4100000000,41135,성남시 분당구,37.38282,127.118926
41,4100000000,41131,성남시 수정구,37.450396,127.145634
42,4100000000,41133,성남시 중원구,37.430523,127.13721
43,4100000000,41113,수원시 권선구,37.257607,126.971893
44,4100000000,41117,수원시 영통구,37.259116,127.046336
45,4100000000,41111,수원시 장안구,37.30416,127.010226
46,4100000000,41115,수원시 팔달구,37.286537,127.035711
47,4100000000,41390,시흥시,37.380174,126.802938
48,4100000000,41273,안산시 단원구,37.319537,126.811832
49,4100000000,41271,안산시 상록구,37.30114,126.845167
50,4100000000,41550,안성시,37.008018,127.279695
51,4100000000,41173,안양시 동안구,37.392574,126.951354
52,4100000000,41171,안양시 만안구,37.386649,126.932325
53,4100000000,41630,양주시,37.784952,127.045496
54,4100000000,41830,양평군,37.491776,127.487563
55,4100000000,41670,여주시,37.298342,127.637088
56,4100000000,41800,연천군,38.096872,127.075059
57,4100000000,41370,오산시,37.149889,127.077461
58,4100000000,41463,용인시 기흥구,37.280156,127.114666
59,4100000000,41465,용인시 수지구,37.322167,127.097962
60,4100000000,41461,용인시 처인구,37.234398,127.201597
61,4100000000,41430,의왕시,37.344887,126.968279
62,4100000000,41150,의정부시,37.737933,127.033899
63,4100000000,41500,이천시,37.278246,127.440997
64,4100000000,41480,파주시,37.7599,126.77976
65,4100000000,41220,평택시,36.992368,127.112763
66,4100000000,41650,포천시,37.894867,127.20024
67,4100000000,41450,하남시,37.539301,127.214874
68,4100000000,41590,화성시,37.199568,126.831325
69,2800000000,28710,강화군,37.746435,126.488025
70,2800000000,28245,계양구,37.53756,126.737771
71,2800000000,28200,남동구,37.447314,126.731574
72,2800000000,28140,동구,37.473834,126.643244
73,2800000000,28177,미추홀구,37.463418,126.650556
74,2800000000,28237,부평구,37.506817,126.721713
75,2800000000,28260,서구,37.545441,126.675877
76,2800000000,28185,연수구,37.410168,126.67828
77,2800000000,28720,옹진군,37.256001,126.483907
78,2800000000,28110,중구,37.4737,126.621571
79,2600000000,26440,강서구,35.212035,128.980525
80,2600000000,26410,금정구,35.243068,129.0921
81,2600000000,26710,기장군,35.244507,129.222173
82,2600000000,26290,남구,35.136649,129.084175
83,2600000000,26170,동구,35.13904,129.0569
84,2600000000,26260,동래구,35.205001,129.083625
85,2600000000,26230,부산진구,35.162874,129.053137
86,2600000000,26320,북구,35.197185,128.990438
87,2600000000,26530,사상구,35.152624,128.99125
88,2600000000,26380,사하구,35.104476,128.974763
89,2600000000,26140,서구,35.097582,129.023425
90,2600000000,26500,수영구,35.14564,129.113075
91,2600000000,26470,연제구,35.176235,129.079762
92,2600000000,26200,영도구,35.091199,129.067875
93,2600000000,26110,중구,35.10619,129.032338
94,2600000000,26350,해운대구,35.163207,129.1637
95,3000000000,30230,대덕구,36.346724,127.415501
96,3000000000,30110,동구,36.3271,127.432663
97,3000000000,30170,서구,36.355465,127.383766
98,3000000000,30200,유성구,36.362322,127.356268
99,3000000000,30140,중구,36.325808,127.421363
100,2700000000,27200,남구,35.846024,128.597613
101,2700000000,27290,달서구,35.829983,128.532775
102,2700000000,27710,달성군,35.7746,128.43145
103,2700000000,27140,동구,35.886649,128.6355
104,2700000000,27230,북구,35.885674,128.582838
105,2700000000,27170,서구,35.871757,128.559175
106,2700000000,27260,수성구,35.858215,128.630587
107,2700000000,27110,중구,35.86934,128.606188
108,2700000000,27720,군위군,36.242942,128.572656
109,3100000000,31140,남구,35.543825,129.329938
110,3100000000,31170,동구,35.504954,129.416673
111,3100000000,31200,북구,35.582708,129.361375
112,3100000000,31710,울주군,35.533817,129.294975
113,3100000000,31110,중구,35.56945,129.3327
114,3600000000,36110,세종시,36.592907,127.292375
115,2900000000,29200,광산구,35.139524,126.793688
116,2900000000,29155,남구,35.122124,126.90805
117,2900000000,29110,동구,35.145999,126.923312
118,2900000000,29170,북구,35.17406,126.911963
119,2900000000,29140,서구,35.152699,126.891275
120,5100000000,51150,강릉시,37.752049,128.875832
121,5100000000,51820,고성군,38.380698,128.467902
122,5100000000,51170,동해시,37.524714,129.114191
123,5100000000,51230,삼척시,37.450018,129.165125
124,5100000000,51210,속초시,38.207093,128.591987
125,5100000000,51800,양구군,38.109624,127.990113
126,5100000000,51830,양양군,38.07545,128.619
127,5100000000,51750,영월군,37.183769,128.461852
128,5100000000,51130,원주시,37.340688,127.921637
129,5100000000,51810,인제군,38.069725,128.17025
130,5100000000,51770,정선군,37.380607,128.660875
131,5100000000,51780,철원군,38.146682,127.313063
132,5100000000,51110,춘천시,37.881324,127.730075
133,5100000000,51190,태백시,37.164232,128.985713
134,5100000000,51760,평창군,37.370744,128.390066
135,5100000000,51720,홍천군,37.697204,127.888517
136,5100000000,51790,화천군,38.105933,127.707885
137,5100000000,51730,횡성군,37.491843,127.985088
138,4300000000,43760,괴산군,36.815341,127.78659
139,4300000000,43800,단양군,36.984774,128.365442
140,4300000000,43720,보은군,36.489422,127.729667
141,4300000000,43740,영동군,36.175026,127.783425
142,4300000000,43730,옥천군,36.306441,127.571262
143,4300000000,43770,음성군,36.93996,127.690508
144,4300000000,43150,제천시,37.132649,128.190925
145,4300000000,43745,증평군,36.785025,127.580988
146,4300000000,43750,진천군,36.855422,127.43561
147,4300000000,43111,청주시 상당구,36.634745,127.488601
148,4300000000,43112,청주시 서원구,36.63769,127.469488
149,4300000000,43114,청주시 청원구,36.651581,127.486671
150,4300000000,43113,청주시 흥덕구,36.641475,127.431534
151,4300000000,43130,충주시,36.991115,127.925896
152,4400000000,44250,계룡시,36.274617,127.248625
153,4400000000,44150,공주시,36.44656,127.119025
154,4400000000,44710,금산군,36.108857,127.488213
155,4400000000,44230,논산시,36.18724,127.098623
156,4400000000,44270,당진시,36.893649,126.628163
157,4400000000,44180,보령시,36.333412,126.61279
158,4400000000,44760,부여군,36.275658,126.909775
159,4400000000,44210,서산시,36.784808,126.4503
160,4400000000,44770,서천군,36.080283,126.691763
161,4400000000,44200,아산시,36.789831,127.002103
162,4400000000,44810,예산군,36.68266,126.848888
163,4400000000,44131,천안시 동남구,36.755923,127.214322
164,4400000000,44133,천안시 서북구,36.882797,127.182452
165,4400000000,44790,청양군,36.459151,126.802238
166,4400000000,44825,태안군,36.74561,126.297913
167,4400000000,44800,홍성군,36.601324,126.660775
168,4700000000,47290,경산시,35.825092,128.74135
169,4700000000,47130,경주시,35.856258,129.224756
170,4700000000,47830,고령군,35.725968,128.262688
171,4700000000,47190,구미시,36.119549,128.344188
172,4700000000,47150,김천시,36.139772,128.113615
173,4700000000,47280,문경시,36.586515,128.186588
174,4700000000,47920,봉화군,36.893151,128.732584
175,4700000000,47250,상주시,36.411007,128.15905
176,4700000000,47840,성주군,35.919176,128.282963
177,4700000000,47170,안동시,36.568483,128.729537
178,4700000000,47770,영덕군,36.415099,129.365325
179,4700000000,47760,영양군,36.666693,129.112275
180,4700000000,47210,영주시,36.805667,128.624063
181,4700000000,47230,영천시,35.97326,128.938613
182,4700000000,47900,예천군,36.657708,128.452868
183,4700000000,47940,울릉군,37.543775,130.905775
184,4700000000,47930,울진군,36.993085,129.4004
185,4700000000,47730,의성군,36.352706,128.697041
186,4700000000,47820,청도군,35.647399,128.733988
187,4700000000,47750,청송군,36.436285,129.056987
188,4700000000,47850,칠곡군,35.995593,128.401688
189,4700000000,47111,포항시 남구,36.008767,129.359475
190,4700000000,47113,포항시 북구,36.041867,129.365688
191,4800000000,48310,거제시,34.880457,128.621175
192,4800000000,48880,거창군,35.686698,127.909534
193,4800000000,48820,고성군,34.973098,128.322264
194,4800000000,48250,김해시,35.228618,128.889238
195,4800000000,48840,남해군,34.837707,127.892475
196,4800000000,48270,밀양시,35.503833,128.7467
197,4800000000,48240,사천시,35.003656,128.06435
198,4800000000,48860,산청군,35.415557,127.873463
199,4800000000,48330,양산시,35.335008,129.036913
200,4800000000,48720,의령군,35.322258,128.261675
201,4800000000,48170,진주시,35.180328,128.107654
202,4800000000,48740,창녕군,35.544623,128.492208
203,4800000000,48125,창원시 마산합포구,35.197135,128.567838
204,4800000000,48127,창원시 마산회원구,35.220954,128.579712
205,4800000000,48123,창원시 성산구,35.198404,128.702942
206,4800000000,48121,창원시 의창구,35.254028,128.640147
207,4800000000,48129,창원시 진해구,35.13289,128.710087
208,4800000000,48220,통영시,34.85439,128.433112
209,4800000000,48850,하동군,35.067333,127.751275
210,4800000000,48730,함안군,35.272333,128.406575
211,4800000000,48870,함양군,35.52053,127.725218
212,4800000000,48890,합천군,35.566665,128.165688
213,5200000000,52790,고창군,35.435835,126.702063
214,5200000000,52130,군산시,35.967718,126.736638
215,5200000000,52210,김제시,35.803583,126.8809
216,5200000000,52190,남원시,35.416432,127.390438
217,5200000000,52730,무주군,36.006842,127.660838
218,5200000000,52800,부안군,35.731568,126.733513
219,5200000000,52770,순창군,35.374474,127.137375
220,5200000000,52710,완주군,35.904708,127.162019
221,5200000000,52140,익산시,35.94826,126.9578
222,5200000000,52750,임실군,35.611077,127.282658
223,5200000000,52740,장수군,35.647299,127.521113
224,5200000000,52113,전주시 덕진구,35.8294,127.134362
225,5200000000,52111,전주시 완산구,35.812208,127.11985
226,5200000000,52180,정읍시,35.569867,126.856038
227,5200000000,52720,진안군,35.7918,127.4249
228,4600000000,46810,강진군,34.64209,126.7672
229,4600000000,46770,고흥군,34.61103,127.284921
230,4600000000,46720,곡성군,35.282017,127.291978
231,4600000000,46230,광양시,34.940658,127.695899
232,4600000000,46730,구례군,35.202539,127.462864
233,4600000000,46170,나주시,35.0159,126.7108
234,4600000000,46710,담양군,35.321175,126.988175
235,4600000000,46110,목포시,34.811849,126.3922
236,4600000000,46840,무안군,34.990489,126.481712
237,4600000000,46780,보성군,34.771466,127.079886
238,4600000000,46150,순천시,34.950703,127.487243
239,4600000000,46910,신안군,34.833626,126.351124
240,4600000000,46130,여수시,34.760425,127.662313
241,4600000000,46870,영광군,35.277213,126.512014
242,4600000000,46830,영암군,34.800164,126.696796
243,4600000000,46890,완도군,34.311039,126.754852
244,4600000000,46880,장성군,35.301906,126.7848
245,4600000000,46800,장흥군,34.681667,126.906967
246,4600000000,46900,진도군,34.486818,126.263475
247,4600000000,46860,함평군,35.065929,126.516582
248,4600000000,46820,해남군,34.573558,126.599225
249,4600000000,46790,화순군,35.064542,126.986488
250,5000000000,50130,서귀포시,33.255592,126.510575
251,5000000000,50110,제주시,33.499568,126.531138
